Time, Mote 1 Rx Signal, Mote 2 Rx Signal
7.559120, 0,0
7.561560, 0,0
7.564000, 0,0
7.566440, 0,0
7.568880, 0,0
7.571320, 0,0
7.573760, 0,0
7.576200, 0,0
7.578640, 0,0
7.581080, 0,0
7.583520, 0,0
7.585960, 0,0
7.588400, 0,0
7.590840, 0,0
7.593280, 0,0
7.595720, 0,0
7.598160, 0,0
7.600600, 0,0
7.603040, 0,0
7.605480, 0,0
7.607920, 0,0
7.610360, 0,0
7.612800, 0,0
7.615240, 0,0
7.617680, 0,0
7.620120, 0,0
7.622560, 0,0
7.625000, 0,0
7.627440, 0,0
7.629880, 0,0
7.632320, 0,0
7.634760, 0,0
7.637200, 0,0
7.639640, 0,0
7.642080, 0,0
7.644520, 0,0
7.646960, 0,0
7.649400, 0,0
7.651840, 0,0
7.654280, 0,0
7.656720, 0,0
7.659160, 0,0
7.661600, 0,0
7.664040, 0,0
7.666480, 0,0
7.668920, 0,0
7.671360, 0,0
7.673800, 0,0
7.676240, 0,0
7.678680, 0,0
7.681120, 0,0
7.683560, 0,0
7.686000, 0,0
7.688440, 0,0
7.690880, 0,0
7.693320, 0,0
7.695760, 0,0
7.698200, 0,0
7.700640, 0,0
7.703080, 0,0
7.705520, 0,0
7.707960, 0,0
7.710400, 0,0
7.712840, 0,0
7.715280, 0,0
7.717720, 0,0
7.720160, 0,0
7.722600, 0,0
7.725040, 0,0
7.727480, 0,0
7.729920, 0,0
7.732360, 0,0
7.734800, 0,0
7.737240, 0,0
7.739680, 0,0
7.742120, 0,0
7.744560, 0,0
7.747000, 0,0
7.749440, 0,0
7.751880, 0,0
7.754320, 0,0
7.756760, 0,0
7.759200, 0,0
7.761640, 0,0
7.764080, 0,0
7.766520, 0,0
7.768960, 0,0
7.771400, 0,0
7.773840, 0,0
7.776280, 0,0
7.778720, 0,0
7.781160, 0,0
7.783600, 0,0
7.786040, 0,0
7.788480, 0,0
7.790920, 0,0
7.793360, 0,0
7.795800, 0,0
7.798240, 0,0
7.800680, 0,0
7.803120, 0,0
7.805560, 0,0
7.808000, 0,0
7.810440, 0,0
7.812880, 0,0
7.815320, 0,0
7.817760, 0,0
7.820200, 0,0
7.822640, 0,0
7.825080, 0,0
7.827520, 0,0
7.829960, 0,0
7.832400, 0,0
7.834840, 0,0
7.837280, 0,0
7.839720, 0,0
7.842160, 0,0
7.844600, 0,0
7.847040, 0,0
7.849480, 0,0
7.851920, 0,0
7.854360, 0,0
7.856800, 0,0
7.859240, 0,0
7.861680, 0,0
7.864120, 0,0
7.866560, 0,0
7.869000, 0,0
7.871440, 0,0
7.873880, 0,0
7.876320, 0,0
7.878760, 0,0
7.881200, 0,0
7.883640, 0,0
7.886080, 0,0
7.888520, 0,0
7.890960, 0,0
7.893400, 0,0
7.895840, 0,0
7.898280, 0,0
7.900720, 0,0
7.903160, 0,0
7.905600, 0,0
7.908040, 0,0
7.910480, 0,0
7.912920, 0,0
7.915360, 0,0
7.917800, 0,0
7.920240, 0,0
7.922680, 0,0
7.925120, 0,0
7.927560, 0,0
7.930000, 0,0
7.932440, 0,0
7.934880, 0,0
7.937320, 0,0
7.939760, 0,0
7.942200, 0,0
7.944640, 0,0
7.947080, 0,0
7.949520, 0,0
7.951960, 0,0
7.954400, 0,0
7.956840, 0,0
7.959280, 0,0
7.961720, 0,0
7.964160, 0,0
7.966600, 0,0
7.969040, 0,0
7.971480, 0,0
7.973920, 0,0
7.976360, 0,0
7.978800, 0,0
7.981240, 0,0
7.983680, 0,0
7.986120, 0,0
7.988560, 0,0
7.991000, 0,0
7.993440, 0,0
7.995880, 0,0
7.998320, 0,0
8.000760, 0,0
8.003200, 0,0
8.005640, 0,0
8.008080, 0,0
8.010520, 0,0
8.012960, 0,0
8.015400, 0,0
8.017840, 0,0
8.020280, 0,0
8.022720, 0,0
8.025160, 0,0
8.027600, 0,0
8.030040, 0,0
8.032480, 0,0
8.034920, 0,0
8.037360, 0,0
8.039800, 0,0
8.042240, 0,0
8.044680, 0,0
8.047120, 0,0
8.049560, 0,0
8.052000, 0,0
8.054440, 0,0
8.056880, 0,0
8.059320, 0,0
8.061760, 0,0
8.064200, 0,0
8.066640, 0,0
8.069080, 0,0
8.071520, 0,0
8.073960, 0,0
8.076400, 0,0
8.078840, 0,0
8.081280, 0,0
8.083720, 0,0
8.086160, 0,0
8.088600, 0,0
8.091040, 0,0
8.093480, 0,0
8.095920, 0,0
8.098360, 0,0
8.100800, 0,0
8.103240, 0,0
8.105680, 0,0
8.108120, 0,0
8.110560, 0,0
8.113000, 0,0
8.115440, 0,0
8.117880, 0,0
8.120320, 0,0
8.122760, 0,0
8.125200, 0,0
8.127640, 0,0
8.130080, 0,0
8.132520, 0,0
8.134960, 0,0
8.137400, 0,0
8.139840, 0,0
8.142280, 0,0
8.144720, 0,0
8.147160, 0,0
8.149600, 0,0
8.152040, 0,0
8.154480, 0,0
8.156920, 0,0
8.159360, 0,0
8.161800, 0,0
8.164240, 0,0
8.166680, 0,0
8.169120, 0,0
8.171560, 0,0
8.174000, 0,0
8.176440, 0,0
8.178880, 0,0
8.181320, 0,0
8.183760, 0,0
8.186200, 0,0
8.188640, 0,0
8.191080, 0,0
8.193520, 0,0
8.195960, 0,0
8.198400, 0,0
8.200840, 0,0
8.203280, 0,0
8.205720, 0,0
8.208160, 0,0
8.210600, 0,0
8.213040, 0,0
8.215480, 0,0
8.217920, 0,0
8.220360, 0,0
8.222800, 0,0
8.225240, 0,0
8.227680, 0,0
8.230120, 0,0
8.232560, 0,0
8.235000, 0,0
8.237440, 0,0
8.239880, 0,0
8.242320, 0,0
8.244760, 0,0
8.247200, 0,0
8.249640, 0,0
8.252080, 0,0
8.254520, 0,0
8.256960, 0,0
8.259400, 0,0
8.261840, 0,0
8.264280, 0,0
8.266720, 0,0
8.269160, 0,0
8.271600, 0,0
8.274040, 0,0
8.276480, 0,0
8.278920, 0,0
8.281360, 0,0
8.283800, 0,0
8.286240, 0,0
8.288680, 0,0
8.291120, 0,0
8.293560, 0,0
8.296000, 0,0
8.298440, 0,0
8.300880, 0,0
8.303320, 0,0
8.305760, 0,0
8.308200, 0,0
8.310640, 0,0
8.313080, 0,0
8.315520, 0,0
8.317960, 0,0
8.320400, 0,0
8.322840, 0,0
8.325280, 0,0
8.327720, 0,0
8.330160, 0,0
8.332600, 0,0
8.335040, 0,0
8.337480, 0,0
8.339920, 0,0
8.342360, 0,0
8.344800, 0,0
8.347240, 0,0
8.349680, 0,0
8.352120, 0,0
8.354560, 0,0
8.357000, 0,0
8.359440, 0,0
8.361880, 0,0
8.364320, 0,0
8.366760, 0,0
8.369200, 0,0
8.371640, 0,0
8.374080, 0,0
8.376520, 0,0
8.378960, 0,0
8.381400, 0,0
8.383840, 0,0
8.386280, 0,0
8.388720, 0,0
8.391160, 0,0
8.393600, 0,0
8.396040, 0,0
8.398480, 0,0
8.400920, 0,0
8.403360, 0,0
8.405800, 0,0
8.408240, 0,0
8.410680, 0,0
8.413120, 0,0
8.415560, 0,0
8.418000, 0,0
8.420440, 0,0
8.422880, 0,0
8.425320, 0,0
8.427760, 0,0
8.430200, 0,0
8.432640, 0,0
8.435080, 0,0
8.437520, 0,0
8.439960, 0,0
8.442400, 0,0
8.444840, 0,0
8.447280, 0,0
8.449720, 0,0
8.452160, 0,0
8.454600, 0,0
8.457040, 0,0
8.459480, 0,0
8.461920, 0,0
8.464360, 0,0
8.466800, 0,0
8.469240, 0,0
8.471680, 0,0
8.474120, 0,0
8.476560, 0,0
8.479000, 0,0
8.481440, 0,0
8.483880, 0,0
8.486320, 0,0
8.488760, 0,0
8.491200, 0,0
8.493640, 0,0
8.496080, 0,0
8.498520, 0,0
8.500960, 0,0
8.503400, 0,0
8.505840, 0,0
8.508280, 0,0
8.510720, 0,0
8.513160, 0,0
8.515600, 0,0
8.518040, 0,0
8.520480, 0,0
8.522920, 0,0
8.525360, 0,0
8.527800, 0,0
8.530240, 0,0
